t_wall_s,step,obs_id,x_m,y_m,vx_mps,vy_mps,speed_mps,course_deg,radius_m
0.000,1,0,80.580,200.010,5.800,0.100,5.801,0.988,16.000
0.000,1,1,939.580,269.990,-4.200,-0.100,4.201,181.364,14.000
0.000,1,2,580.010,80.620,0.100,6.200,6.201,89.076,16.000
0.000,1,3,499.990,919.420,-0.100,-5.800,5.801,269.012,16.000
0.100,2,0,81.160,200.020,5.800,0.100,5.801,0.988,16.000
0.100,2,1,939.160,269.980,-4.200,-0.100,4.201,181.364,14.000
0.100,2,2,580.020,81.240,0.100,6.200,6.201,89.076,16.000
0.100,2,3,499.980,918.840,-0.100,-5.800,5.801,269.012,16.000
0.200,3,0,81.740,200.030,5.800,0.100,5.801,0.988,16.000
0.200,3,1,938.740,269.970,-4.200,-0.100,4.201,181.364,14.000
0.200,3,2,580.030,81.860,0.100,6.200,6.201,89.076,16.000
0.200,3,3,499.970,918.260,-0.100,-5.800,5.801,269.012,16.000
0.300,4,0,82.320,200.040,5.800,0.100,5.801,0.988,16.000
0.300,4,1,938.320,269.960,-4.200,-0.100,4.201,181.364,14.000
0.300,4,2,580.040,82.480,0.100,6.200,6.201,89.076,16.000
0.300,4,3,499.960,917.680,-0.100,-5.800,5.801,269.012,16.000
0.401,5,0,82.900,200.050,5.800,0.100,5.801,0.988,16.000
0.401,5,1,937.900,269.950,-4.200,-0.100,4.201,181.364,14.000
0.401,5,2,580.050,83.100,0.100,6.200,6.201,89.076,16.000
0.401,5,3,499.950,917.100,-0.100,-5.800,5.801,269.012,16.000
0.501,6,0,83.480,200.060,5.800,0.100,5.801,0.988,16.000
0.501,6,1,937.480,269.940,-4.200,-0.100,4.201,181.364,14.000
0.501,6,2,580.060,83.720,0.100,6.200,6.201,89.076,16.000
0.501,6,3,499.940,916.520,-0.100,-5.800,5.801,269.012,16.000
0.603,7,0,84.060,200.070,5.800,0.100,5.801,0.988,16.000
0.603,7,1,937.060,269.930,-4.200,-0.100,4.201,181.364,14.000
0.603,7,2,580.070,84.340,0.100,6.200,6.201,89.076,16.000
0.603,7,3,499.930,915.940,-0.100,-5.800,5.801,269.012,16.000
0.703,8,0,84.640,200.080,5.800,0.100,5.801,0.988,16.000
0.703,8,1,936.640,269.920,-4.200,-0.100,4.201,181.364,14.000
0.703,8,2,580.080,84.960,0.100,6.200,6.201,89.076,16.000
0.703,8,3,499.920,915.360,-0.100,-5.800,5.801,269.012,16.000
0.804,9,0,85.220,200.090,5.800,0.100,5.801,0.988,16.000
0.804,9,1,936.220,269.910,-4.200,-0.100,4.201,181.364,14.000
0.804,9,2,580.090,85.580,0.100,6.200,6.201,89.076,16.000
0.804,9,3,499.910,914.780,-0.100,-5.800,5.801,269.012,16.000
0.905,10,0,85.800,200.100,5.800,0.100,5.801,0.988,16.000
