t_wall_s,step,x_m,y_m,yaw_deg,v_mps,w_radps,v_cmd_mps,w_cmd_radps,goal_dist_m,min_clearance_m,collided
0.002,1,30.006,30.002,15.286,0.125,0.100,0.125,0.100,1301.071,153.046,0
0.053,2,30.018,30.005,15.764,0.250,0.167,0.250,0.167,1301.060,152.834,0
0.104,3,30.036,30.010,16.241,0.375,0.167,0.375,0.167,1301.044,152.640,0
0.155,4,30.060,30.017,16.719,0.500,0.167,0.500,0.167,1301.022,152.438,0
0.206,5,30.090,30.027,17.196,0.625,0.167,0.625,0.167,1300.994,152.228,0
0.257,6,30.126,30.038,17.674,0.750,0.167,0.750,0.167,1300.961,152.011,0
0.308,7,30.167,30.052,18.151,0.875,0.167,0.875,0.167,1300.922,151.785,0
0.359,8,30.215,30.068,18.629,1.000,0.167,1.000,0.167,1300.877,151.553,0
0.410,9,30.268,30.086,19.106,1.125,0.167,1.125,0.167,1300.826,151.312,0
0.461,10,30.327,30.107,19.584,1.250,0.167,1.250,0.167,1300.770,151.063,0
0.512,11,30.391,30.131,20.061,1.375,0.167,1.375,0.167,1300.708,150.807,0
0.563,12,30.461,30.157,20.539,1.500,0.167,1.500,0.167,1300.639,150.543,0
0.614,13,30.537,30.186,21.016,1.625,0.167,1.625,0.167,1300.565,150.271,0
0.666,14,30.619,30.218,21.494,1.750,0.167,1.750,0.167,1300.485,149.991,0
0.716,15,30.706,30.253,21.971,1.875,0.167,1.875,0.167,1300.399,149.703,0
0.768,16,30.798,30.291,22.448,2.000,0.167,2.000,0.167,1300.306,149.407,0
0.818,17,30.896,30.333,22.926,2.125,0.167,2.125,0.167,1300.208,149.104,0
0.870,18,30.999,30.377,23.403,2.250,0.167,2.250,0.167,1300.103,148.792,0
0.921,19,31.108,30.426,23.881,2.375,0.167,2.375,0.167,1299.992,148.472,0
0.973,20,31.222,30.477,24.358,2.500,0.167,2.500,0.167,1299.875,148.145,0
1.023,21,31.341,30.532,24.836,2.625,0.167,2.625,0.167,1299.752,147.810,0
1.073,22,31.465,30.591,25.313,2.750,0.167,2.750,0.167,1299.623,147.466,0
1.124,23,31.594,30.654,25.791,2.875,0.167,2.875,0.167,1299.487,147.115,0
1.175,24,31.729,30.720,26.268,3.000,0.167,3.000,0.167,1299.345,146.755,0
1.226,25,31.868,30.790,26.746,3.125,0.167,3.125,0.167,1299.197,146.388,0
1.277,26,32.013,30.864,27.128,3.250,0.133,3.250,0.133,1299.042,146.255,0
1.328,27,32.163,30.942,27.510,3.375,0.133,3.375,0.133,1298.881,145.886,0
1.379,28,32.317,31.024,27.892,3.500,0.133,3.500,0.133,1298.714,145.511,0
1.430,29,32.477,31.110,28.274,3.625,0.133,3.625,0.133,1298.540,145.128,0
1.481,30,32.642,31.200,28.655,3.750,0.133,3.750,0.133,1298.360,144.737,0
1.531,31,32.811,31.294,29.037,3.875,0.133,3.875,0.133,1298.174,144.338,0
1.582,32,32.985,31.392,29.419,4.000,0.133,4.000,0.133,1297.982,143.932,0
1.633,33,33.164,31.495,29.801,4.125,0.133,4.125,0.133,1297.783,143.518,0
1.684,34,33.348,31.602,30.183,4.250,0.133,4.250,0.133,1297.577,143.097,0
1.734,35,33.536,31.713,30.565,4.375,0.133,4.375,0.133,1297.365,142.668,0
1.787,36,33.729,31.829,30.947,4.500,0.133,4.500,0.133,1297.147,142.231,0
