t_wall_s,step,x_m,y_m,yaw_deg,v_mps,w_radps,v_cmd_mps,w_cmd_radps,goal_dist_m,min_clearance_m,collided
0.002,1,30.025,30.000,1.146,0.250,0.200,0.250,0.200,1301.058,152.959,0
0.113,2,30.075,30.003,3.438,0.500,0.400,0.500,0.400,1301.021,152.411,0
0.222,3,30.150,30.010,5.348,0.750,0.333,0.750,0.333,1300.963,152.057,0
0.333,4,30.249,30.023,7.257,1.000,0.333,1.000,0.333,1300.884,151.595,0
0.441,5,30.372,30.043,9.167,1.250,0.333,1.250,0.333,1300.783,151.094,0
0.548,6,30.519,30.072,11.077,1.500,0.333,1.500,0.333,1300.658,150.553,0
0.658,7,30.690,30.110,12.605,1.750,0.267,1.750,0.267,1300.511,150.217,0
0.767,8,30.884,30.159,14.133,2.000,0.267,2.000,0.267,1300.339,149.641,0
0.876,9,31.101,30.220,15.661,2.250,0.267,2.250,0.267,1300.143,149.028,0
0.985,10,31.340,30.293,17.189,2.500,0.267,2.500,0.267,1299.922,148.378,0
1.094,11,31.600,30.382,18.717,2.750,0.267,2.750,0.267,1299.675,147.691,0
1.203,12,31.882,30.484,19.863,3.000,0.200,3.000,0.200,1299.404,147.394,0
1.313,13,32.186,30.600,21.008,3.250,0.200,3.250,0.200,1299.107,146.686,0
1.421,14,32.510,30.732,22.154,3.500,0.200,3.500,0.200,1298.785,145.944,0
1.531,15,32.854,30.881,23.300,3.750,0.200,3.750,0.200,1298.436,145.168,0
1.640,16,33.218,31.046,24.446,4.000,0.200,4.000,0.200,1298.062,144.358,0
1.748,17,33.602,31.230,25.592,4.250,0.200,4.250,0.200,1297.661,143.514,0
1.858,18,34.004,31.432,26.738,4.500,0.200,4.500,0.200,1297.234,142.636,0
1.966,19,34.425,31.651,27.502,4.750,0.133,4.750,0.133,1296.781,142.401,0
2.074,20,34.865,31.888,28.266,5.000,0.133,5.000,0.133,1296.303,141.522,0
2.184,21,35.324,32.143,29.030,5.250,0.133,5.250,0.133,1295.798,140.613,0
2.293,22,35.802,32.416,29.794,5.500,0.133,5.500,0.133,1295.268,139.671,0
2.403,23,36.297,32.709,30.558,5.750,0.133,5.750,0.133,1294.711,138.699,0
2.512,24,36.809,33.020,31.322,6.000,0.133,6.000,0.133,1294.129,137.696,0
2.622,25,37.339,33.352,32.086,6.250,0.133,6.250,0.133,1293.520,136.661,0
2.730,26,37.885,33.705,32.850,6.500,0.133,6.500,0.133,1292.885,135.595,0
2.839,27,38.447,34.079,33.614,6.750,0.133,6.750,0.133,1292.223,134.497,0
2.948,28,39.027,34.470,33.995,7.000,0.067,7.000,0.067,1291.536,134.422,0
3.057,29,39.626,34.879,34.377,7.250,0.067,7.250,0.067,1290.824,133.359,0
3.168,30,40.242,35.307,34.759,7.500,0.067,7.500,0.067,1290.086,132.270,0
3.276,31,40.876,35.753,35.141,7.750,0.067,7.750,0.067,1289.323,131.154,0
3.386,32,41.527,36.218,35.523,8.000,0.067,8.000,0.067,1288.535,130.011,0
3.494,33,42.195,36.702,35.905,8.250,0.067,8.250,0.067,1287.720,128.841,0
3.604,34,42.880,37.205,36.287,8.500,0.067,8.500,0.067,1286.880,127.644,0
3.713,35,43.582,37.727,36.669,8.750,0.067,8.750,0.067,1286.015,126.420,0
3.823,36,44.292,38.264,37.051,8.900,0.067,8.900,0.067,1285.134,125.421,0
3.932,37,44.999,38.805,37.433,8.900,0.067,8.900,0.067,1284.252,124.783,0
4.040,38,45.702,39.350,37.815,8.900,0.067,8.900,0.067,1283.370,124.143,0
4.149,39,46.401,39.901,38.197,8.900,0.067,8.900,0.067,1282.486,123.500,0
4.259,40,47.097,40.456,38.579,8.900,0.067,8.900,0.067,1281.602,122.855,0
4.366,41,47.789,41.015,38.961,8.900,0.067,8.900,0.067,1280.718,122.208,0
4.477,42,48.478,41.580,39.343,8.900,0.067,8.900,0.067,1279.832,121.558,0
4.584,43,49.162,42.148,39.725,8.900,0.067,8.900,0.067,1278.946,120.906,0
4.693,44,49.843,42.722,40.107,8.900,0.067,8.900,0.067,1278.060,120.252,0
4.804,45,50.520,43.300,40.489,8.900,0.067,8.900,0.067,1277.173,119.596,0
4.912,46,51.193,43.882,40.871,8.900,0.067,8.900,0.067,1276.285,118.938,0
5.022,47,51.862,44.469,41.253,8.900,0.067,8.900,0.067,1275.398,118.278,0
5.130,48,52.527,45.060,41.635,8.900,0.067,8.900,0.067,1274.509,117.616,0
5.239,49,53.192,45.651,41.635,8.900,0.000,8.900,0.000,1273.621,118.304,0
5.348,50,53.857,46.243,41.635,8.900,0.000,8.900,0.000,1272.733,117.720,0
5.458,51,54.523,46.834,41.635,8.900,0.000,8.900,0.000,1271.845,117.136,0
5.568,52,55.188,47.425,41.635,8.900,0.000,8.900,0.000,1270.956,116.552,0
5.677,53,55.853,48.017,41.635,8.900,0.000,8.900,0.000,1270.068,115.968,0
5.786,54,56.518,48.608,41.635,8.900,0.000,8.900,0.000,1269.180,115.384,0
5.893,55,57.183,49.199,41.635,8.900,0.000,8.900,0.000,1268.292,114.800,0
6.003,56,57.848,49.791,41.635,8.900,0.000,8.900,0.000,1267.403,114.216,0
6.111,57,58.514,50.382,41.635,8.900,0.000,8.900,0.000,1266.515,113.633,0
6.223,58,59.179,50.973,41.635,8.900,0.000,8.900,0.000,1265.627,113.049,0
6.331,59,59.844,51.564,41.635,8.900,0.000,8.900,0.000,1264.739,112.465,0
6.440,60,60.509,52.156,41.635,8.900,0.000,8.900,0.000,1263.851,111.882,0
6.548,61,61.174,52.747,41.635,8.900,0.000,8.900,0.000,1262.962,111.298,0
6.657,62,61.839,53.338,41.635,8.900,0.000,8.900,0.000,1262.074,110.715,0
6.765,63,62.505,53.930,41.635,8.900,0.000,8.900,0.000,1261.186,110.131,0
6.874,64,63.170,54.521,41.635,8.900,0.000,8.900,0.000,1260.298,109.547,0
6.982,65,63.835,55.112,41.635,8.900,0.000,8.900,0.000,1259.410,108.964,0
7.090,66,64.500,55.704,41.635,8.900,0.000,8.900,0.000,1258.521,108.381,0
7.200,67,65.165,56.295,41.635,8.900,0.000,8.900,0.000,1257.633,107.797,0
7.308,68,65.831,56.886,41.635,8.900,0.000,8.900,0.000,1256.745,107.214,0
7.418,69,66.496,57.477,41.635,8.900,0.000,8.900,0.000,1255.857,106.631,0
7.527,70,67.161,58.069,41.635,8.900,0.000,8.900,0.000,1254.969,106.047,0
